neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_gremlinp_1K,titan_bdb_untypedp_1K,titan_bdb_typed_p_1K
471168262,85701250,243233475,189629014,19475570,61642371,58092986
4755190194,74706011,229169945,191652581,17033664,39277019,41132931
3525094782,93806296,239906479,200869240,6923948672,16972890974,17195893658
1116146914,12697835,39785119,32561959,73295354218,157635466177,157421730381
3374527314,247599877,696159360,592400360,223398261,562855865,570895971
420432454,28447479,84184816,76176338,269879502,668409920,683270435
320183917,297278555,948059006,743268045,88365940,228647034,230787176
2281725655,6561152,13629990,9291255,18382862078,50297020677,49894099222
1573184164,4285598,11112153,9665884,61917413,149287693,146714181
11730106224,119136790,348733108,264857643,230964277,491796798,534884575
936636592,70246572,203272634,170346655,8203325,19087260,19510116
387301311,6548266,19637662,19857668,136687898,358342705,352034002
227885603,26698230,81114876,60990075,7575474,19051261,19700350
1013517225,18938573,51659005,46314189,37460660,84984455,85230581
1944975479,41922854,153823596,111753884,206147184,552921565,526264785
4525770941,59819309,193259982,157912725,178556941,455902309,460057664
1831534164,154302911,459776667,369297000,53827425,125528636,115526410
3313375875,163464826,539255750,424089493,108035968,273471173,290225834
463456140,7962129,19836831,22006567,23844687,46293678,46027214
2470075080,103440563,311518813,241405135,29674759,84378011,83268582
1033916196,7320166,30375385,15414321,41623408,81537497,93767133
2852777359,191971418,542298949,425425619,186786534,458953243,521590449
164771179,222515317,625597088,502826022,1006177501,2454219194,2491681956
7181528649,30013707,88778880,68028408,115992108,289237590,289671747
1900953227,221412708,645055587,516224625,1026101982,2396368448,2432821647
2347482502,36347384,120097706,91725073,87671081,230600736,232912236
4818882027,159840964,495535656,381646483,65283980,165816844,175190741
494664272,6479440,15946408,14969836,58400125,133316538,137458326
1503717334,135062984,405814856,304077602,31322531,87544142,88318125
2732883438,14023948,31864262,25267988,469616673,1134434685,1147902052
1949685210,8756430,22467137,20319816,408424098,1015920582,1050299228
1099121103,18284169,69579520,45983308,37906250,78594796,76935188
439656840,92989704,278989710,232025887,65274595,148211293,156737170
3775723052,111901109,297466312,234020116,78621707,196794876,193196160
1025183274,29527283,95119100,72347084,171478887,415243585,442584099
797725584,25816593,85699264,61351138,42236912,89364645,91522861
1052197729,191442030,549903224,458418475,36547172624,76751475751,79273477574
431649281,297762088,749920226,669875999,169237945,375999632,379260712
4852761088,106019957,298008859,254759919,446580920,1087340722,1118452778
1449342082,113320977,292487462,255682106,215317817,581955536,535020230
3903122389,394513246,1053700661,888248104,7948064,16603416,16755509
2707335618,96453550,265011799,229188087,135776030,336852131,334975324
1098590670,176647229,458240231,395939877,30178177,85245937,79503907
1477828906,469552217,1225341309,1044246905,65026249,160363733,152902657
185866800,217003262,578628471,502134640,92344653,220970496,223415890
191054937,92678099,248901092,216846693,103130439,235437263,234210177
1416517810,86490722,222124270,207592190,181418962,418787095,398128420
1137584578,58878144,173439114,136073400,307797951,734357962,762718164
2815870408,34890932,88200712,83414041,36531110,89252904,77300993
509619956,17110036,55387231,55700319,36193085,96034544,91816150
3847128670,18834694,46616347,40175637,86529571,189727175,188220218
4099567299,235910587,675477752,554990605,83014662,182275982,205785868
2065425123,86488626,234459868,201167879,94939303,220440383,225435819
1919664838,11459028,35422299,31063681,65319195,140015114,147231086
997304231,67934938,192541586,160093193,117221633,290156256,297814541
2463849638,10714194,22133373,36771110,7212752,14649528,18890457
1051730587,7239857,20334668,15743128,323137346,814934407,787115337
365136947,110426623,294350106,258726019,1323485375,3093470628,3088862798
7180874445,115545816,313137820,257749878,78372301,178133434,192044682
4225726878,99866842,235596201,199403758,21730307,71331838,65127270
457754403,59588055,150165345,139842380,696998499,1713706307,1752213552
1384486424,6217764,13155973,12670466,17846765,37917005,31666504
1007269515,195610993,499278166,459840946,89487653,242377417,250312688
180697543,169761224,456083814,409387146,92591796,212777065,202753208
7196686400,57440320,161579423,126248920,120615455,280679806,289019810
935452629,334174961,970279496,830749793,262381472,654312028,685066802
1001979881,98482389,260598366,234328023,53040917,122584656,117008265
1469886479,56128651,145383828,127102421,173554251,423485812,438503390
468431407,20356602,64494300,58166846,13023978,37888797,37127373
267622912,11434363,35562057,40244887,27286431,55656838,54728155
117155779,55662587,135855478,100004299,390129216,981774999,987686907
228087618,16585007,45938062,40481161,153817425,379283407,387260880
125630873,30085316,75694360,54294701,236406562,517580655,543615688
87389084,136634568,373921254,320645362,10813270,35774768,33408474
1157047686,9799487,23481209,25458409,356426274,857183683,873787104
376790380,98958249,262965832,232336890,341353888,875843050,904175047
310148643,94383153,246593192,214455839,30750180,88120297,89507448
276781118,18301007,42959471,40975838,20566142,44646175,46501881
1285717151,45954248,129351506,101452817,421943588,1038204878,1106930877
371631951,429916902,1130818964,985437309,32383060,71913204,69345780
352357280,12357558,35503523,31180241,223840215,573472501,580653689
1870624191,8216072,13033530,12430224,143392146,395289364,393817884
92170507,53840329,158350283,128735552,63742379,164826851,159850276
