neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
758039,360487,336291
1115952,494190,439662
495582,153294,152650
528397,2580825,114468
653328,467578,365490
2392402,674841,649407
1382488,537185,502531
1186457,485294,461529
865878,407015,402619
406214,178048,172041
658481,242945,240524
1257837,530101,500128
600504,307352,323851
3639462,466012,484555
818461,243265,242987
904242,392776,296212
381229,98131,154498
657059,372394,404734
853101,371698,403267
17009639,67543,70491
944240,334989,351416
982845,399548,463503
2351431,600051,918356
1126491,473377,602356
27137147,450552,497093
18136439,69495,81599
288954,111619,121102
490300,194884,257753
260487,93828,151158
1220841,502696,2899528
1275791,888823,1288029
20735687,169830,213837
1130724,416209,573732
274247,72338,90877
587299,156372,279682
140814,18269,30277
1202545,516463,548653
19750454,511570,328492
16696474,216576,194543
1557075,496949,469769
953938,423526,425032
486213,152811,151182
294488,66449,67645
983206,296883,353359
526400,147469,154663
1498401,386418,432351
814119,221249,231980
793282,125264,153398
464286,51183,57701
651762,45911,43883
2891727,588085,605245
993201,183034,118598
1086626,136226,105379
741660,20433,16141
904968,92214,78540
1861144,578678,521625
1714993,556949,555136
21378618,157780,150106
594777,124752,124197
23061179,97046,94464
1025753,135742,126638
780806,108157,108856
763629,118653,118468
582386,95502,92034
2883323,585201,654715
1281039,308680,364800
1121053,188351,222031
1452277,281818,338150
724098,129429,154115
768593,110254,115615
571660,86109,101470
580458,91924,102115
996689,204674,249267
1183081,122906,152444
857102,129172,149298
1527759,369350,454053
3975306,939242,987271
672741,190981,216462
624437,309502,361161
241359,91834,112839
461856,149672,156094
404369,144519,124670
605748,361472,381457
320760,128751,131595
2094638,614177,642672
16994440,314566,317130
211666,60276,63134
452453,147057,140155
1472371,474948,514540
268255,81260,86365
374776,289321,204843
470442,316890,183404
187694,84102,66434
231240,81344,73090
461232,197453,157058
760977,459133,439293
257696,90964,103054
600905,403684,346938
252823,102999,76703
1139195,602267,529865
593754,229421,217725
256583,66988,59982
3201806,559432,503462
369317,128092,102081
16741186,232223,174150
26391764,122295,101182
1249497,693453,621330
205029,82396,63367
609311,384549,309775
264549,140267,82931
654503,586619,328757
247082,156472,102776
611132,429009,308320
328658,111701,98389
1382617,644645,539184
17111122,154170,137332
1022661,469004,422246
20285258,489162,432129
781132,2645917,342529
20764194,1112810,484314
1569471,1959961,431539
